p,media,start,end,locator,person,person_uri,duration,frame
http://data.memad.eu/yle/stromso/16557519a0f8f08e07c0a8eb602d5931d33d55cb,http://data.memad.eu/yle/stromso/849bbd3b5da9c01ca84013bfffd9afac09d64049,991.04,1038.24,https://platform.limecraft.com/api/production/2336/mo/797133/moa,Esa Saari,http://data.memad.eu/agent/esa-saari,47.200000000000045,./frames/memad_gt2/stromso_849bbd3b5da9c01ca84013bfffd9afac09d64049_1002.jpg
http://data.memad.eu/yle/stromso/16557519a0f8f08e07c0a8eb602d5931d33d55cb,http://data.memad.eu/yle/stromso/849bbd3b5da9c01ca84013bfffd9afac09d64049,991.4,1038.24,https://platform.limecraft.com/api/production/2336/mo/797133/moa,Esa Saari,http://data.memad.eu/agent/esa-saari,46.84000000000003,./frames/memad_gt2/stromso_849bbd3b5da9c01ca84013bfffd9afac09d64049_1002.jpg
http://data.memad.eu/yle/stromso/48535f899451d54046988368078636113a6e6b50,http://data.memad.eu/yle/stromso/f0eccbac8f79375f0ee69e91acfa07b1d34dad7d,1561.56,1589.48,https://platform.limecraft.com/api/production/2336/mo/797131/moa,Esa Saari,http://data.memad.eu/agent/esa-saari,27.920000000000073,./frames/memad_gt2/stromso_f0eccbac8f79375f0ee69e91acfa07b1d34dad7d_1567.jpg
http://data.memad.eu/yle/stromso/aee84fb386f92f1630e3310edd1dd0ef1d440d4c,http://data.memad.eu/yle/stromso/bd5e495a9c69610ae3a9eb81d1b5fa360b7f0c0f,761.52,796.76,https://platform.limecraft.com/api/production/2336/mo/797110/moa,Esa Saari,http://data.memad.eu/agent/esa-saari,35.24000000000001,./frames/memad_gt2/stromso_bd5e495a9c69610ae3a9eb81d1b5fa360b7f0c0f_769.jpg
http://data.memad.eu/yle/stromso/0c90a724200ed79844f327128a86baccde9d2f73,http://data.memad.eu/yle/stromso/1dd398f54b09a4cdabf43ec729ba7f57bb323f17,1467.76,1498.76,https://platform.limecraft.com/api/production/2336/mo/803859/moa,Esa Saari,http://data.memad.eu/agent/esa-saari,31.0,./frames/memad_gt2/stromso_1dd398f54b09a4cdabf43ec729ba7f57bb323f17_1474.jpg
http://data.memad.eu/yle/stromso/20d681f86259be5f66933e58c2b6e773419bd62e,http://data.memad.eu/yle/stromso/9d977fc8807d78a978afa69464cf055c516cf49d,1720.4,1740.8,https://platform.limecraft.com/api/production/2336/mo/799790/moa,Esa Saari,http://data.memad.eu/agent/esa-saari,20.399999999999864,./frames/memad_gt2/stromso_9d977fc8807d78a978afa69464cf055c516cf49d_1730.jpg
http://data.memad.eu/yle/stromso/477c1acdd2060b0013528d85d9128463e908510d,http://data.memad.eu/yle/stromso/1dd398f54b09a4cdabf43ec729ba7f57bb323f17,768.64,810.44,https://platform.limecraft.com/api/production/2336/mo/803859/moa,Esa Saari,http://data.memad.eu/agent/esa-saari,41.80000000000007,./frames/memad_gt2/stromso_1dd398f54b09a4cdabf43ec729ba7f57bb323f17_778.jpg
http://data.memad.eu/yle/stromso/62704b5c6f014ee0f49c269f925ceafdc74d388f,http://data.memad.eu/yle/stromso/896510f85530ec911615a7e0595484170ce621a5,2204.84,2233.56,https://platform.limecraft.com/api/production/2336/mo/800127/moa,Esa Saari,http://data.memad.eu/agent/esa-saari,28.7199999999998,./frames/memad_gt2/stromso_896510f85530ec911615a7e0595484170ce621a5_2211.jpg
http://data.memad.eu/yle/stromso/ef251c55bbaf349c5cdab5954766878ff65044fe,http://data.memad.eu/yle/stromso/d3c864a1c28cf83839c3e4f45405113f31079361,1545.88,1578.44,https://platform.limecraft.com/api/production/2336/mo/803887/moa,Esa Saari,http://data.memad.eu/agent/esa-saari,32.559999999999945,./frames/memad_gt2/stromso_d3c864a1c28cf83839c3e4f45405113f31079361_1553.jpg
http://data.memad.eu/yle/stromso/f215cf71d62f2fd5c2ba5af8170fbffcccf052f8,http://data.memad.eu/yle/stromso/37467ba3f38f9a1f80bb581e2964c41eddca0953,696.36,736.6,https://platform.limecraft.com/api/production/2336/mo/803865/moa,Esa Saari,http://data.memad.eu/agent/esa-saari,40.24000000000001,./frames/memad_gt2/stromso_37467ba3f38f9a1f80bb581e2964c41eddca0953_706.jpg
http://data.memad.eu/yle/stromson-puutarha/553ce19e11c6ac6db58583aa398d747deeac8d7b,http://data.memad.eu/yle/stromson-puutarha/5ca2611831c0097cf079298af5c6c81a78032010,1176.36,1208.08,https://platform.limecraft.com/api/production/2336/mo/801225/moa,Esa Saari,http://data.memad.eu/agent/esa-saari,31.720000000000027,./frames/memad_gt2/stromson-puutarha_5ca2611831c0097cf079298af5c6c81a78032010_1183.jpg
http://data.memad.eu/yle/stromson-puutarha/553ce19e11c6ac6db58583aa398d747deeac8d7b,http://data.memad.eu/yle/stromson-puutarha/5ca2611831c0097cf079298af5c6c81a78032010,1176.36,1208.8,https://platform.limecraft.com/api/production/2336/mo/801225/moa,Esa Saari,http://data.memad.eu/agent/esa-saari,32.440000000000055,./frames/memad_gt2/stromson-puutarha_5ca2611831c0097cf079298af5c6c81a78032010_1184.jpg
http://data.memad.eu/yle/tahtia-ja-tahteita-stromsossa/579a8f912b0a63696efbc49bb085dedf2bc66c68,http://data.memad.eu/yle/tahtia-ja-tahteita-stromsossa/28652806459206a50db17babad90194c2fb4f464,4630.72,4678.16,https://platform.limecraft.com/api/production/2336/mo/802722/moa,Esa Saari,http://data.memad.eu/agent/esa-saari,47.4399999999996,./frames/memad_gt2/tahtia-ja-tahteita-stromsossa_28652806459206a50db17babad90194c2fb4f464_4641.jpg
http://data.memad.eu/yle/tahtien-ja-tahteiden-parhaat/316422b4227b503b6d1bdf8b8620c74ec3b57328,http://data.memad.eu/yle/tahtien-ja-tahteiden-parhaat/b69d5cefe688209591c0c3e8d35e6c4bfff289bd,4630.72,4678.16,https://platform.limecraft.com/api/production/2336/mo/803855/moa,Esa Saari,http://data.memad.eu/agent/esa-saari,47.4399999999996,./frames/memad_gt2/tahtien-ja-tahteiden-parhaat_b69d5cefe688209591c0c3e8d35e6c4bfff289bd_4641.jpg
http://data.memad.eu/yle/tahtien-ja-tahteiden-parhaat/8a96be98c9e663c0b85c33be04ce6563042f2afa,http://data.memad.eu/yle/tahtien-ja-tahteiden-parhaat/dc5db53cf1486fead37993cb29c8e5126897b856,4630.72,4678.16,https://platform.limecraft.com/api/production/2336/mo/803852/moa,Esa Saari,http://data.memad.eu/agent/esa-saari,47.4399999999996,./frames/memad_gt2/tahtien-ja-tahteiden-parhaat_dc5db53cf1486fead37993cb29c8e5126897b856_4641.jpg
http://data.memad.eu/yle/tahtien-ja-tahteiden-parhaat/fadfd72f9c3bfb3829fdba21448cd2a7ffa5c3bc,http://data.memad.eu/yle/tahtien-ja-tahteiden-parhaat/a9450801b19248dfbc235b8f2819f908fa45cf6e,4630.72,4678.16,https://platform.limecraft.com/api/production/2336/mo/803857/moa,Esa Saari,http://data.memad.eu/agent/esa-saari,47.4399999999996,./frames/memad_gt2/tahtien-ja-tahteiden-parhaat_a9450801b19248dfbc235b8f2819f908fa45cf6e_4641.jpg
http://data.memad.eu/yle/narbild/468d2499202d0f00503ba237662f7dda41921a4f,http://data.memad.eu/yle/narbild/77c0a81fb8a795f40e2d751b06052fa28625f489,1701.32,1727.0,https://platform.limecraft.com/api/production/2336/mo/1263616/moa,Johan Hellman,http://data.memad.eu/agent/johan-hellman,25.680000000000064,./frames/memad_gt2/narbild_77c0a81fb8a795f40e2d751b06052fa28625f489_1719.jpg
http://data.memad.eu/yle/narbild/72d9e21c5d63b5a917a3257e8020ca969c38ff74,http://data.memad.eu/yle/narbild/cbb41a062af88ba596a84a012ed9f1fde0b1f8e9,1681.68,1725.0,https://platform.limecraft.com/api/production/2336/mo/1263463/moa,Johan Hellman,http://data.memad.eu/agent/johan-hellman,43.319999999999936,./frames/memad_gt2/narbild_cbb41a062af88ba596a84a012ed9f1fde0b1f8e9_1691.jpg
http://data.memad.eu/yle/narbild/42900183d863cc4bfdd9637bf55c03921e280881,http://data.memad.eu/yle/narbild/1d0107eb317a875b54dab66e6ba27400838c05b3,1635.48,1667.959,https://platform.limecraft.com/api/production/2336/mo/650158/moa,Johan Hellman,http://data.memad.eu/agent/johan-hellman,32.47900000000004,./frames/memad_gt2/narbild_1d0107eb317a875b54dab66e6ba27400838c05b3_1659.jpg
http://data.memad.eu/yle/narbild/42900183d863cc4bfdd9637bf55c03921e280881,http://data.memad.eu/yle/narbild/1d0107eb317a875b54dab66e6ba27400838c05b3,1635.48,1667.959,https://platform.limecraft.com/api/production/2336/mo/798131/moa,Johan Hellman,http://data.memad.eu/agent/johan-hellman,32.47900000000004,./frames/memad_gt2/narbild_1d0107eb317a875b54dab66e6ba27400838c05b3_1659.jpg
http://data.memad.eu/yle/obs-debatt/0665f029111f5a8116f860dd5b1b0eb108f3e090,http://data.memad.eu/yle/obs-debatt/c760de84442516095f4e2bee1e88ecc2a317d79a,2038.56,2066.48,https://platform.limecraft.com/api/production/2336/mo/798410/moa,Johan Hellman,http://data.memad.eu/agent/johan-hellman,27.920000000000073,./frames/memad_gt2/obs-debatt_c760de84442516095f4e2bee1e88ecc2a317d79a_2044.jpg
http://data.memad.eu/yle/obs-debatt/172707a9e92500ca005f58cfab23a4afb9c731c6,http://data.memad.eu/yle/obs-debatt/099940368d38073e47ec8245c785431e656fc3ad,2002.76,2045.76,https://platform.limecraft.com/api/production/2336/mo/798397/moa,Johan Hellman,http://data.memad.eu/agent/johan-hellman,43.0,./frames/memad_gt2/obs-debatt_099940368d38073e47ec8245c785431e656fc3ad_2012.jpg
http://data.memad.eu/yle/obs-debatt/27891539e12da81f39134e5033b38b168e2da610,http://data.memad.eu/yle/obs-debatt/4278bc43a6872ed347afe6180487675e3c834fdd,1663.92,1707.4,https://platform.limecraft.com/api/production/2336/mo/798435/moa,Johan Hellman,http://data.memad.eu/agent/johan-hellman,43.48000000000002,./frames/memad_gt2/obs-debatt_4278bc43a6872ed347afe6180487675e3c834fdd_1673.jpg
http://data.memad.eu/yle/obs-debatt/3489236f38a03f284b540d5dc44961d4c608bfaf,http://data.memad.eu/yle/obs-debatt/90791d5a63565977ec0c18cf7b99a904b7c6b64f,2026.2,2063.8,https://platform.limecraft.com/api/production/2336/mo/798421/moa,Johan Hellman,http://data.memad.eu/agent/johan-hellman,37.600000000000136,./frames/memad_gt2/obs-debatt_90791d5a63565977ec0c18cf7b99a904b7c6b64f_2035.jpg
http://data.memad.eu/yle/obs-debatt/473adcae45d711cf4de5aa1e9681ea9cdf2634d2,http://data.memad.eu/yle/obs-debatt/2d37112d9512eccafc9249c699d9286cf8895118,1995.4,2017.68,https://platform.limecraft.com/api/production/2336/mo/798396/moa,Johan Hellman,http://data.memad.eu/agent/johan-hellman,22.279999999999973,./frames/memad_gt2/obs-debatt_2d37112d9512eccafc9249c699d9286cf8895118_2000.jpg
http://data.memad.eu/yle/obs-debatt/53fa2821457749209c060152edf1ce839ac4b8dd,http://data.memad.eu/yle/obs-debatt/1a0269840cb287b253c0ba5be2d3b3de0a3d6317,2023.44,2055.72,https://platform.limecraft.com/api/production/2336/mo/798406/moa,Johan Hellman,http://data.memad.eu/agent/johan-hellman,32.279999999999745,./frames/memad_gt2/obs-debatt_1a0269840cb287b253c0ba5be2d3b3de0a3d6317_2031.jpg
